occ2010,estimate,p.value
5500,-0.0033203938840733606,0.942588893219308
5560,0.03700190275181618,0.07127954575569852
5840,0.008510368375837848,0.3523730322848134
5920,0.08527473152719114,0.21414258019118745
6040,-0.007992438141231918,0.6728992662684421
6710,-0.012521616641905972,0.6218007868053732
6720,-0.021765218962829354,0.568017827319843
6740,-0.05879924159502042,0.24112142772852316
6765,-0.01269496904051465,0.6680045121459237
7030,0.04430606666055806,0.23774566515482964
7100,-0.012684015809598157,0.7203372389409287
7110,-0.03115885889271334,0.4926259588039944
7120,-0.012606408290246021,0.6670127637209644
7130,-0.003408963503971318,0.8564472760379537
7160,-0.05939445765620016,0.03942184837251826
7260,-0.02551911273860965,0.05681623683896856
7510,0.02403203049448535,0.31707236677183953
7560,0.012675632578795507,0.4992708964748829
7710,-0.16734451714975082,0.09696486747316846
7740,0.07168560720826085,0.004888957994560619
7850,-0.1009182933547963,0.11923447148863375
7920,0.13794712589639446,0.0030066673600699146
8040,0.020437241221958665,0.3995564633267211
8940,-0.06707467100600874,0.0770963114708332
9110,-0.02513348687485527,0.5704041526247094
9410,-0.020650740970814607,0.4373783266579203
9650,-0.04018868923418503,0.22582469477201061
