occ2010,metric,value,z,pctile
1910,dv_rating_beta,0.416666666666667,0.351719982118451,0.609865470852018
1920,dv_rating_beta,0.392857142857143,0.247466901797253,0.568385650224215
1930,dv_rating_beta,0.185064935064935,-0.662378162824113,0.338565022421525
1965,dv_rating_beta,0.537371780951319,0.880242941055735,0.811659192825112
2000,dv_rating_beta,0.251807834999686,-0.370135740697889,0.410313901345292
2010,dv_rating_beta,0.285813492063492,-0.221237571813467,0.468609865470852
2015,dv_rating_beta,0.394736842105263,0.2556974081384,0.57847533632287
2016,dv_rating_beta,0.392857142857143,0.247466901797253,0.571748878923767
2025,dv_rating_beta,0.429587496141857,0.408295505588377,0.630044843049327
2040,dv_rating_beta,0.333333333333333,-0.0131657990057427,0.51457399103139
2050,dv_rating_beta,0.439393939393939,0.451234286061413,0.647982062780269
2100,dv_rating_beta,0.425,0.38820856023087,0.623318385650224
2105,dv_rating_beta,0.517241379310345,0.792099373130409,0.76457399103139
2145,dv_rating_beta,0.525,0.826071497579903,0.775784753363229
2160,dv_rating_beta,0.764880952380952,1.87642128181597,0.955156950672646
2200,dv_rating_beta,0.477739885125135,0.619136970394294,0.697309417040359
2300,dv_rating_beta,0.228418685074049,-0.47254815958325,0.381165919282511
2310,dv_rating_beta,0.322216958368995,-0.061840284951325,0.502242152466368
2320,dv_rating_beta,0.333333333333333,-0.0131657990057427,0.51457399103139
2330,dv_rating_beta,0.331934503402408,-0.0192907568298081,0.511210762331839
2340,dv_rating_beta,0.452726961636549,0.509614648890305,0.661434977578475
2400,dv_rating_beta,0.393843404808317,0.25178537734662,0.576233183856502
2430,dv_rating_beta,0.535087719298246,0.870241881610726,0.804932735426009
2440,dv_rating_beta,0.567307692307692,1.01132120184295,0.849775784753363
2540,dv_rating_beta,0.53030303030303,0.84929150183326,0.788116591928251
2550,dv_rating_beta,0.482064922436796,0.638074705808573,0.70627802690583
2600,dv_rating_beta,0.485203120364951,0.651815711436619,0.713004484304933
2630,dv_rating_beta,0.393189233997984,0.248921005821214,0.573991031390135
2700,dv_rating_beta,0.1875,-0.651715915973082,0.34304932735426
2710,dv_rating_beta,0.469585379159847,0.583431411048381,0.68609865470852
2720,dv_rating_beta,0.204166666666667,-0.578738759748243,0.36322869955157
2740,dv_rating_beta,0.0896517213771016,-1.08015726289677,0.174887892376682
2750,dv_rating_beta,0.559344790547798,0.976454606298864,0.838565022421525
2800,dv_rating_beta,0.65,1.37340016926619,0.92152466367713
2810,dv_rating_beta,0.65,1.37340016926619,0.92152466367713
2825,dv_rating_beta,0.590909090909091,1.11466297901449,0.874439461883408
2830,dv_rating_beta,0.647058823529412,1.36052184757946,0.917040358744395
2840,dv_rating_beta,0.7,1.59233163794071,0.940582959641256
